company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
ALEXANDER ZANE PROJECTS LTD,06995078,Active,Private limited company,,,2009-08-19,,,41100 43210,"Paxton Lodge London Road Coventry CV1 2JT "
EPG SPECIALISTS LTD,07244642,Active,Private limited company,,,2010-05-06,,,35230 43210 43220 43290,"Unit 64- 101 Clapham High Street London SW4 7TB "
DOLFIN ELECTRICALS LTD,07154290,Active,Private limited company,,,2010-02-11,,,43210,77 Lullingstone Lane London SE13 6UH England
JB ELECTRIX LTD,07604751,Active,Private limited company,,,2011-04-14,,,43210 43999,"41 Riverside London NW4 3TU "
FOREVER ELECTRICAL INSTALLATION AND BUILDING SERVICE LTD,06611720,Active,Private limited company,,,2008-06-04,,,43210,"85 Great Portland Street Firet Floor London W1W 7LT "
TSAVO ENTERPRISES LIMITED,07599210,Active,Private limited company,,,2011-04-11,,,33140 43210 81222,20 Wenlock Road London N1 7GU England
WHITTLE ELECTRICAL CONTRACTORS LIMITED,04206772,Active,Private limited company,,,2001-04-26,,,43210,"Wellesley House 204 London Road Waterlooville PO7 7AN "
M HODGINS ELECTRICAL CONTRACTORS LTD,09104970,Active,Private limited company,,,2014-06-26,,,43210,Top Floor Claridon House London Road Stanford Le Hope SS17 0JU United Kingdom
ALBAVISHA LTD,06582780,Active,Private limited company,,,2008-05-01,,,43210,83d London Road Romford RM7 9QD England
BALMER ELECTRICAL SERVICES LIMITED,06786837,Active,Private limited company,,,2009-01-09,,,43210,5 Brayford Square London E1 0SG England
FIRST STRIKE ELECTRICAL LTD.,03786975,Active,Private limited company,,,1999-06-10,,,43210,19-21 Crawford Street London W1H 1PJ England
A BINNS ELECTRICAL LTD,09082764,Active,Private limited company,,,2014-06-12,,,43210,Turnpike House 1208/1210 London Road Leigh-On-Sea SS9 2UA England
BESPOKE SERVICE SOLUTIONS LIMITED,08035640,Active,Private limited company,,,2012-04-18,,,43210 70229 71200,"27 Old Gloucester Street London WC1N 3AX "
M A L CONTRACT SERVICES LIMITED,03554881,Active,Private limited company,,,1998-04-29,,,43210,"C/O Francis Clarks 1 London Road Ipswich IP1 2HA "
RMC ELECTRICAL SERVICES LTD,09230190,Active,Private limited company,,,2014-09-23,,,43210,Top Floor Claridon House London Road Stanford Le Hope SS17 0JU United Kingdom
AMP ELECTRICAL SERVICES LIMITED,06895527,Active,Private limited company,,,2009-05-05,,,43210,591 London Road Cheam Sutton SM3 9AG England
