ID,Day,Incidence,Brand,Quantity,Last_Inc_Brand,Last_Inc_Quantity,Price_1,Price_2,Price_3,Price_4,Price_5,Promotion_1,Promotion_2,Promotion_3,Promotion_4,Promotion_5,Customer ID
200000001,1,0,0,0,0,0,1.59,1.87,2.01,2.09,2.66,0,1,0,0,0,100000636
200000002,11,0,0,0,0,0,1.51,1.89,1.99,2.09,2.66,0,0,0,0,0,100000636
200000003,12,0,0,0,0,0,1.51,1.89,1.99,2.09,2.66,0,0,0,0,0,100000636
200000004,16,0,0,0,0,0,1.52,1.89,1.98,2.09,2.66,0,0,0,0,0,100000636
200000005,18,0,0,0,0,0,1.52,1.89,1.99,2.09,2.66,0,0,0,0,0,100000636
200000006,23,0,0,0,0,0,1.5,1.9,1.99,2.09,2.66,0,0,0,0,0,100000636
200000007,28,1,2,2,0,0,1.5,1.9,1.99,2.09,2.67,0,0,0,0,0,100000636
200000008,37,0,0,0,2,1,1.5,1.9,1.99,2.09,2.67,0,0,0,0,0,100000636
200000009,41,0,0,0,0,0,1.35,1.58,1.97,2.09,2.67,1,1,1,0,0,100000636
200000010,43,0,0,0,0,0,1.35,1.58,1.97,2.09,2.67,1,1,1,0,0,100000636
200000011,51,0,0,0,0,0,1.35,1.87,1.93,2.09,2.59,1,1,1,0,0,100000636
200000012,58,1,5,1,0,0,1.39,1.9,1.91,2.12,2.62,1,0,0,0,1,100000636
200000013,59,0,0,0,5,1,1.39,1.9,1.91,2.12,2.62,1,0,0,0,0,100000636
200000014,77,0,0,0,0,0,1.36,1.85,1.95,2.12,2.5,0,1,0,0,0,100000636
200000015,78,0,0,0,0,0,1.47,1.85,1.95,2.12,2.5,0,0,0,0,1,100000636
200000016,83,0,0,0,0,0,1.47,1.9,1.99,2.12,2.49,0,0,0,0,1,100000636
200000017,90,0,0,0,0,0,1.39,1.58,1.99,2.12,2.55,0,1,0,0,0,100000636
200000018,92,0,0,0,0,0,1.39,1.46,1.99,2.12,2.4,0,0,0,0,0,100000636
200000019,98,0,0,0,0,0,1.47,1.9,1.95,2.12,2.67,0,0,0,0,0,100000636
200000020,110,1,1,2,0,0,1.47,1.9,1.99,1.97,2.67,0,0,0,1,0,100000636
200000021,111,0,0,0,1,1,1.47,1.9,1.99,1.97,2.67,1,1,0,0,0,100000636
200000022,118,0,0,0,0,0,1.43,1.31,1.99,2.16,2.67,0,1,0,0,0,100000636
200000023,125,0,0,0,0,0,1.39,1.84,1.93,2.16,2.67,1,0,0,0,0,100000636
200000024,137,0,0,0,0,0,1.19,1.89,1.99,2.16,2.67,1,1,0,0,0,100000636
200000025,142,1,4,1,0,0,1.21,1.35,1.99,2.16,2.68,1,1,0,0,0,100000636
200000026,149,0,0,0,4,1,1.39,1.9,1.99,2.16,2.64,1,0,0,0,0,100000636
200000027,160,0,0,0,0,0,1.39,1.9,1.94,2.16,2.62,1,0,0,0,0,100000636
200000028,161,0,0,0,0,0,1.39,1.9,1.94,2.16,2.62,1,0,0,0,0,100000636
200000029,167,0,0,0,0,0,1.39,1.9,1.94,2.16,2.63,1,0,0,0,0,100000636
200000030,183,1,2,3,0,0,1.46,1.88,1.97,1.89,2.37,1,0,0,1,1,100000636
200000031,190,0,0,0,2,1,1.35,1.88,1.99,2.16,2.44,0,0,0,0,0,100000636
200000032,197,0,0,0,0,0,1.35,1.57,1.99,2.16,2.66,0,1,0,0,0,100000636
200000033,204,0,0,0,0,0,1.49,1.9,1.97,2.16,2.34,0,0,0,0,0,100000636
200000034,211,0,0,0,0,0,1.49,1.78,1.99,1.97,2.67,0,0,0,1,0,100000636
200000035,218,0,0,0,0,0,1.34,1.89,1.99,2.13,2.36,0,0,0,0,0,100000636
200000036,219,0,0,0,0,0,1.34,1.89,1.99,2.13,2.67,1,1,0,1,0,100000636
200000037,227,0,0,0,0,0,1.27,1.52,1.95,1.97,2.67,1,1,0,1,0,100000636
200000038,237,0,0,0,0,0,1.46,1.89,1.93,2.16,2.67,1,0,0,0,0,100000636
200000039,248,0,0,0,0,0,1.46,1.89,1.99,2.15,2.66,0,0,0,0,0,100000636
200000040,249,0,0,0,0,0,1.46,1.89,1.99,2.15,2.65,0,0,0,0,0,100000636
200000041,255,0,0,0,0,0,1.46,1.57,2,2.16,2.64,0,1,0,0,0,100000636
200000042,263,0,0,0,0,0,1.37,1.26,1.96,2.16,2.67,1,1,0,0,0,100000636
200000043,265,0,0,0,0,0,1.37,1.26,1.96,2.16,2.67,1,1,0,0,0,100000636
200000044,266,0,0,0,0,0,1.37,1.26,1.96,2.16,2.67,1,1,0,0,0,100000636
200000045,275,0,0,0,0,0,1.4,1.89,2,2.16,2.64,1,0,0,0,0,100000636
200000046,282,0,0,0,0,0,1.37,1.89,2,2.14,2.64,0,0,0,0,0,100000636
200000047,290,0,0,0,0,0,1.49,1.89,2,2.17,2.67,0,0,0,0,0,100000636
200000048,297,0,0,0,0,0,1.48,1.89,2.01,2.18,2.69,0,0,0,0,0,100000636
200000049,298,0,0,0,0,0,1.48,1.89,2.01,2.18,2.69,0,0,0,0,0,100000636
200000050,308,0,0,0,0,0,1.34,1.89,2.01,2.03,2.68,0,0,0,1,0,100000636
200000051,315,0,0,0,0,0,1.33,1.49,2.01,2.21,2.7,0,1,0,0,0,100000636
200000052,322,0,0,0,0,0,1.33,1.89,1.98,2.21,2.7,1,1,0,0,0,100000636
200000053,327,1,4,3,0,0,1.47,1.89,2.01,1.9,2.71,0,0,0,1,0,100000636
200000054,329,0,0,0,4,1,1.47,1.89,2.01,1.9,2.7,0,0,0,1,0,100000636
200000055,333,0,0,0,0,0,1.47,1.89,2.01,1.9,2.7,0,0,0,1,0,100000636
200000056,342,0,0,0,0,0,1.4,1.89,2.02,2.02,2.6,1,0,0,0,0,100000636
200000057,355,0,0,0,0,0,1.26,1.81,1.97,2.21,2.66,1,1,0,0,0,100000636
200000058,362,0,0,0,0,0,1.33,1.89,2.02,2.2,2.69,0,0,0,0,0,100000636
200000059,369,0,0,0,0,0,1.21,1.53,2.02,2.21,2.68,0,1,0,0,0,100000636
