Price,Year,Generation,Trim,Mileage,Distance,Seller
12156,2019,8,ST-3,59600,104,Trade
9990,2019,8,ST-3,77800,27,Trade
14950,2019,8,ST-3,34500,20,Trade
5500,2014,7,ST-3,73100,11,Private
6499,2014,7,ST-3,76542,31,Trade
15999,2020,8,ST-3,30049,34,Trade
12109,2019,8,ST-3,62000,21,Trade
8995,2017,7,ST-3,59500,55,Trade
7495,2015,7,ST-3,71000,33,Trade
4995,2014,7,ST-3,81899,113,Trade
13999,2018,8,ST-3,48000,21,Trade
19000,2022,8,ST-3,11545,24,Trade
5559,2017,7,ST-3,107948,93,Trade
5000,2015,7,ST-3,109000,15,Private
14200,2019,8,ST-3,37572,59,Trade
14995,2019,8,ST-3,41000,78,Trade
17999,2022,8,ST-3,6982,11,Trade
18800,2023,8,ST-3,8827,28,Trade
5695,2015,7,ST-3,79825,18,Private
7490,2015,7,ST-3,65158,85,Trade
6995,2014,7,ST-3,59000,106,Trade
6995,2014,7,ST-3,64000,80,Trade
17989,2021,8,ST-3,25000,165,Private
5400,2015,7,ST-3,103000,41,Private
3899,2015,7,ST-3,100565,21,Private
15995,2019,8,ST-3,19000,54,Private
7600,2015,7,ST-3,64000,35,Private
6298,2015,7,ST-3,89444,113,Private
12950,2018,8,ST-3,50873,108,Private
9995,2018,8,ST-3,95000,111,Private
8995,2017,7,ST-3,50000,100,Private
8795,2014,7,ST-3,49500,101,Private
17499,2021,8,ST-3,22831,34,Private
18873,2021,8,ST-3,11613,137,Private
11995,2020,8,ST-3,59810,93,Private
13749,2019,8,ST-3,39000,155,Private
3995,2015,7,ST-3,112700,49,Private
14495,2020,8,ST-3,30000,4,Private
10999,2017,7,ST-3,33666,29,Private
7295,2016,7,ST-3,73000,166,Private
6990,2014,7,ST-3,63000,85,Private
19500,2023,8,ST-3,5846,15,Private
18900,2022,8,ST-3,8623,13,Private
9995,2019,8,ST-3,73000,41,Private
19000,2022,8,ST-3,11545,24,Private
7279,2014,7,ST-3,60121,76,Private
14750,2022,8,ST-3,50150,134,Private
4791,2014,7,ST-3,111450,80,Private
8490,2015,7,ST-3,44500,104,Private
6148,2015,7,ST-3,88941,62,Private
18322,2021,8,ST-3,12222,13,Private
12250,2019,8,ST-3,59800,69,Private
7250,2014,7,ST-3,59000,111,Private
15250,2019,8,ST-3,24800,100,Private
8850,2016,7,ST-3,55591,70,Private
20595,2023,8,ST-3,9345,23,Private
10099,2016,7,ST-3,36200,158,Private
8999,2016,7,ST-3,62000,105,Private
16500,2020,8,ST-3,25230,28,Private
5295,2014,7,ST-3,96000,93,Private
17595,2020,8,ST-3,23683,30,Private
13995,2018,8,ST-3,40000,97,Private
14499,2018,8,ST-3,33003,111,Private
