Price,Year,Generation,Trim,Mileage,Distance,Seller,Owners
14750,2022,8,ST-3,50150,43,Trade,
12950,2018,8,ST-3,50873,51,Trade,2
8795,2014,7,ST-3,49500,52,Trade,2
7250,2015,7,ST-3,62445,45,Private,5
4995,2014,7,ST-3,81899,133,Trade,4
7490,2015,7,ST-3,65158,66,Trade,2
8995,2017,7,ST-3,59500,102,Trade,3
13795,2019,8,ST-3,47000,26,Trade,4
16790,2021,8,ST-3,42300,51,Trade,3
9990,2019,8,ST-3,77800,121,Trade,3
4990,2014,7,ST-3,80000,135,Private,3
6995,2014,7,ST-3,59000,133,Trade,6
12000,2018,8,ST-3,64967,57,Trade,3
12495,2017,7,ST-3,14000,60,Trade,2
13995,2018,8,ST-3,40000,57,Trade,3
7295,2016,7,ST-3,73000,214,Trade,2
8999,2016,7,ST-3,62000,57,Trade,
5559,2017,7,ST-3,107948,160,Trade,
10630,2017,7,ST-3,38993,50,Trade,
9995,2018,8,ST-3,95000,137,Trade,
14949,2019,8,ST-3,23200,47,Trade,
7120,2016,7,ST-3,86742,50,Trade,
8995,2017,7,ST-3,50000,143,Trade,2
14950,2019,8,ST-3,34500,144,Trade,4
9695,2018,8,ST-3,61000,69,Private,3
19750,2022,8,ST-3,13206,67,Trade,
6499,2014,7,ST-3,76542,177,Trade,
7250,2014,7,ST-3,59000,128,Trade,3
10000,2016,7,ST-3,47294,57,Trade,3
8995,2018,8,ST-3,70009,84,Private,3
15999,2020,8,ST-3,30049,141,Trade,
6990,2014,7,ST-3,63000,148,Trade,
17440,2022,8,ST-3,17659,65,Trade,
12250,2019,8,ST-3,59800,87,Trade,3
5500,2014,7,ST-3,73100,155,Private,4
11795,2017,7,ST-3,30100,21,Trade,2
14499,2018,8,ST-3,33003,120,Trade,
12195,2018,8,ST-3,49874,38,Private,4
18995,2020,8,ST-3,12704,21,Trade,
11995,2020,8,ST-3,59810,147,Trade,2
8226,2016,7,ST-3,60413,42,Trade,2
19499,2023,8,ST-3,16700,32,Trade,
14006,2019,8,ST-3,37577,42,Trade,2
12109,2019,8,ST-3,62000,151,Trade,
14995,2019,8,ST-3,41000,183,Trade,2
8995,2017,7,ST-3,51522,169,Trade,
17995,2022,8,ST-3,14220,72,Trade,
8490,2015,7,ST-3,44500,145,Trade,3
15250,2019,8,ST-3,24800,147,Trade,
8995,2016,7,ST-3,37567,194,Trade,
7495,2015,7,ST-3,71000,180,Trade,2
9750,2017,7,ST-3,42200,42,Trade,3
14200,2019,8,ST-3,37572,101,Trade,3
13749,2019,8,ST-3,39000,235,Trade,
15695,2019,8,ST-3,30360,21,Trade,2
20490,2022,8,ST-3,10950,42,Trade,
16495,2018,8,ST-3,16300,176,Trade,3
20298,2023,8,ST-3,7723,49,Trade,
8250,2016,7,ST-3,53500,51,Private,3
5000,2015,7,ST-3,109000,137,Private,3
14000,2019,8,ST-3,42514,62,Trade,
5695,2015,7,ST-3,79825,165,Private,4
7279,2014,7,ST-3,60121,180,Trade,
12495,2018,8,ST-3,60007,139,Trade,3
17999,2022,8,ST-3,6982,141,Trade,
15500,2019,8,ST-3,22798,10,Trade,
18800,2023,8,ST-3,8827,160,Trade,
14995,2019,8,ST-3,24000,90,Trade,2
6750,2015,7,ST-3,47867,168,Private,5
14149,2019,8,ST-3,37410,8,Trade,2
13999,2018,8,ST-3,48000,159,Trade,
5295,2014,7,ST-3,96000,145,Trade,4
18700,2022,8,ST-3,25611,70,Trade,
6995,2014,7,ST-3,64000,182,Trade,
7250,2016,7,ST-3,80468,47,Trade,2
19950,2023,8,ST-3,12205,51,Trade,
21990,2023,8,ST-3,5041,10,Trade,
18990,2022,8,ST-3,14917,43,Trade,
11990,2018,8,ST-3,69000,193,Trade,
3899,2015,7,ST-3,100565,167,Private,3
14394,2019,8,ST-3,41092,92,Trade,3
14999,2020,8,ST-3,36000,147,Trade,
3995,2015,7,ST-3,112700,155,Trade,3
7600,2015,7,ST-3,64000,180,Trade,
17499,2021,8,ST-3,22831,141,Trade,2
12899,2019,8,ST-3,50230,171,Trade,3
8295,2015,7,ST-3,57460,221,Trade,
6995,2016,7,ST-3,75000,181,Trade,3
7995,2017,7,ST-3,70000,181,Trade,2
4791,2014,7,ST-3,111450,182,Trade,4
8250,2017,7,ST-3,63000,199,Trade,
6199,2016,7,ST-3,64000,148,Private,4
7495,2016,7,ST-3,67575,204,Trade,4
12156,2019,8,ST-3,59600,58,Trade,2
15995,2019,8,ST-3,19000,198,Trade,2
8590,2016,7,ST-3,52811,143,Trade,3
8250,2015,7,ST-3,53000,165,Trade,2
5400,2015,7,ST-3,103000,187,Trade,
17786,2022,8,ST-3,17390,177,Trade,
10099,2016,7,ST-3,36200,171,Trade,4
18950,2022,8,ST-3,17252,99,Trade,
10999,2017,7,ST-3,33666,166,Trade,
20150,2023,8,ST-3,8773,137,Trade,
6298,2015,7,ST-3,89444,251,Trade,
19290,2022,8,ST-3,16684,10,Trade,
13368,2018,8,ST-3,40377,210,Trade,2
8000,2016,7,ST-3,57000,139,Trade,6
19500,2023,8,ST-3,5846,142,Trade,
5098,2014,7,ST-3,100928,159,Trade,6
16150,2022,8,ST-3,38090,157,Trade,
18799,2022,8,ST-3,10954,104,Trade,
6000,2014,7,ST-3,83000,188,Trade,4
14495,2020,8,ST-3,30000,144,Trade,
21660,2024,8,ST-3,5594,126,Trade,
6148,2015,7,ST-3,88941,157,Trade,3
19500,2022,8,ST-3,14300,87,Trade,
8450,2017,7,ST-3,65000,148,Trade,4
17895,2023,8,ST-3,14737,135,Trade,
19440,2023,8,ST-3,11036,110,Trade,
17995,2023,8,ST-3,11549,46,Private,
17595,2020,8,ST-3,23683,118,Trade,2
7500,2016,7,ST-3,64000,214,Trade,2
15799,2020,8,ST-3,25839,57,Trade,
6988,2017,7,ST-3,75000,188,Trade,
9500,2017,7,ST-3,53000,119,Trade,2
13995,2018,8,ST-3,55500,151,Trade,3
19326,2022,8,ST-3,13898,67,Trade,
18999,2022,8,ST-3,9256,168,Trade,
8850,2016,7,ST-3,55591,213,Trade,
14795,2019,8,ST-3,26000,173,Trade,2
13750,2018,8,ST-3,51000,160,Private,5
18302,2022,8,ST-3,11161,142,Trade,
19400,2022,8,ST-3,10964,99,Trade,
7994,2015,7,ST-3,56000,304,Trade,
18900,2022,8,ST-3,8623,159,Trade,
9995,2016,7,ST-3,33106,167,Private,3
9899,2017,7,ST-3,39436,171,Trade,3
14472,2018,8,ST-3,30469,90,Trade,
19990,2023,8,ST-3,14625,10,Trade,
20495,2022,8,ST-3,5700,29,Trade,
7245,2014,7,ST-3,62672,211,Trade,3
7995,2016,7,ST-3,63067,190,Trade,
15000,2020,8,ST-3,44326,208,Trade,
13950,2019,8,ST-3,38188,166,Trade,2
12450,2019,8,ST-3,59284,193,Trade,
17392,2022,8,ST-3,16907,184,Trade,
9995,2017,7,ST-3,50100,143,Private,3
18322,2021,8,ST-3,12222,159,Trade,2
18670,2022,8,ST-3,11999,143,Trade,
18995,2022,8,ST-3,11000,90,Trade,
18990,2022,8,ST-3,18000,193,Trade,
20995,2022,8,ST-3,4300,50,Trade,2
5600,2015,7,ST-3,88000,129,Private,4
26995,2024,8,ST-3,69,137,Trade,
20990,2023,8,ST-3,3370,181,Trade,
5495,2015,7,ST-3,82000,125,Private,2
11495,2017,7,ST-3,26500,52,Trade,
