company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
AI SOFTWARE DEVELOPMENT LIMITED,15715386,Active,Private limited company,,,2024-05-11,,,58290 59132 62090 82990,Flat 24 Francis House 760-762 Barking Road London E13 9PJ England
COLNE DATA & AI LIMITED,15716715,Active,Private limited company,,,2024-05-13,,,62020,2 The Cross Colchester CO7 9QN United Kingdom
NATIVE MEDIA AI LTD,15717510,Active,Private limited company,,,2024-05-13,,,58290,Wayside Broadheath Tenbury Wells WR15 8QW England
VIGILATE AI LTD,15143190,Active,Private limited company,,,2023-09-17,,,62090,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
AI AUTOCENTRE LTD,15111043,Active,Private limited company,,,2023-09-03,,,45200,"Ai Autocentre The Garage, Main Road Ingatestone CM4 9HX United Kingdom"
MOSAIC AI LTD,15149255,Active,Private limited company,,,2023-09-19,,,74202,28 Alma Terrace 28 Alma Terrace St. Leonards-On-Sea TN37 6QT England
JURIS AI LIMITED,15727286,Active,Private limited company,,,2024-05-18,,,62090,124 City Road London EC1V 2NX England
INNOVATE AI LTD,NI696965,Active,Private limited company,,,2023-05-09,,,62020,83 Halftown Road Lisburn BT27 5RF Northern Ireland
IDATA AI LTD,14711015,Active,Private limited company,,,2023-03-07,,,58290 62012 62020,22 Vincent Avenue First Floor Milton Keyenes MK8 0AB England
IQRA AI LIMITED,15701231,Active,Private limited company,,,2024-05-02,,,47990,8 Bell Yard London WC2A 2JR United Kingdom
GPU AI LTD,15703265,Active,Private limited company,,,2024-05-03,,,62090,Unit 13 Freeland Park Wareham Road Lytchett Matravers Poole BH16 6FA England
VITRUVIAN AI LTD,15704107,Active,Private limited company,,,2024-05-06,,,72190,44 Cecil Road Flat 3 Manchester M9 6AD England
JUPITER AI LTD,15704436,Active,Private limited company,,,2024-05-06,,,99999,50 York Close Towcester NN12 6JE England
AI ROOFING & GUTTERING LTD,15705904,Active,Private limited company,,,2024-05-07,,,43910,21 Lewis Street Gainsborough DN21 2AB England
VIRGO AI LTD,15706920,Active,Private limited company,,,2024-05-07,,,47910,2 Stevens Lane Esher KT10 0TE United Kingdom
INTERSTELLAR AI QUANTIFICATION LTD.,15707944,Active,Private limited company,,,2024-05-08,,,62090 63110 64205 66300,207 Regent Street London W1B 3HH United Kingdom
AI BUSINESS LTD,15711740,Active,Private limited company,,,2024-05-10,,,85422 85530 85600,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
AMYA-AI LTD,15732803,Active,Private limited company,,,2024-05-21,,,58290 62012 62020 63990,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
AI PROPERTY MANAGEMENT LIMITED,14878768,Active,Private limited company,,,2023-05-18,,,68100 68209,145 Poulton Road Wallasey CH44 9DF United Kingdom
INVERTIBLE AI LIMITED,14857294,Active,Private limited company,,,2023-05-09,,,71122 72190,27 Old Gloucester Street London WC1N 3AX United Kingdom
