Price,Year,Generation,Trim,Mileage,Distance,Seller
9999,2017,7,ST-3,38032,1,Private
5995,2017,7,ST-3,102857,7,Private
11995,2017,7,ST-3,30100,21,Trade
14295,2019,8,ST-3,42150,26,Trade
10800,2017,7,ST-3,46000,29,Trade
21495,2022,8,ST-3,10000,29,Trade
11499,2015,7,ST-3,28000,32,Trade
19499,2023,8,ST-3,16739,32,Trade
8995,2015,7,ST-3,54200,35,Trade
23950,2023,8,ST-3,1350,42,Trade
20990,2022,8,ST-3,10950,42,Trade
21975,2023,8,ST-3,1159,44,Trade
7000,2017,7,ST-3,59048,44,Private
22995,2023,8,ST-3,5011,47,Trade
12995,2019,8,ST-3,43000,48,Private
20500,2023,8,ST-3,12823,49,Trade
21482,2023,8,ST-3,7723,49,Trade
17995,2020,8,ST-3,15417,50,Trade
14400,1100,8,ST-3,35787,51,Private
21999,2023,8,ST-3,16899,52,Trade
23500,2023,8,ST-3,8191,55,Trade
10000,2016,7,ST-3,47294,57,Trade
19495,2022,8,ST-3,19550,57,Trade
9499,2016,7,ST-3,62000,57,Trade
12999,2017,7,ST-3,19000,57,Trade
11649,2019,8,ST-3,72371,57,Trade
16649,2020,8,ST-3,33796,57,Trade
16999,2022,8,ST-3,29272,59,Private
20250,2022,8,ST-3,13705,60,Trade
19995,2023,8,ST-3,16872,63,Trade
15590,2020,8,ST-3,37000,65,Trade
10750,2016,7,ST-3,46000,65,Trade
16490,2021,8,ST-3,22967,66,Trade
8795,2016,7,ST-3,55911,67,Trade
19250,2022,8,ST-3,10965,67,Trade
10000,2015,7,ST-3,32913,67,Private
10490,2018,8,ST-3,61000,69,Private
14499,2018,8,ST-3,49936,81,Trade
7500,2014,7,ST-3,78200,84,Private
9400,2018,8,ST-3,70009,84,Private
19995,2022,8,ST-3,14300,87,Trade
9990,2016,7,ST-3,39922,88,Trade
9830,2015,7,ST-3,51400,89,Private
20295,2022,8,ST-3,11000,90,Trade
14995,2019,8,ST-3,42000,91,Private
8395,2014,7,ST-3,50000,92,Trade
13995,2019,8,ST-3,48500,93,Private
19990,2022,8,ST-3,15500,98,Trade
12495,2018,8,ST-3,53580,106,Trade
9495,2017,7,ST-3,52000,110,Private
19749,2020,8,ST-3,4180,112,Trade
8795,2014,7,ST-3,42500,113,Trade
13999,2019,8,ST-3,42020,113,Trade
5980,2014,7,ST-3,84800,116,Trade
3030,2014,7,ST-3,164530,116,Private
5600,2015,7,ST-3,82653,119,Private
5795,2015,7,ST-3,72000,119,Private
20999,2022,8,ST-3,13932,120,Trade
21749,2023,8,ST-3,8344,120,Trade
5995,2015,7,ST-3,82000,125,Private
